ID,Game,Away Team,Home Team,Pick Type,Pick Team,Pick Description,Odds,Confidence,Result,Status,Start Time,Settled At,League,Market Type,Reasoning,Created At,Last Updated,Graded At,Notes
2025_01_ARI_NO_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 91.1% confidence (FPI-adjusted),,,,
2025_01_ARI_NO_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 81.6% confidence,,,,
2025_01_BAL_BUF_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,,,
2025_01_BAL_BUF_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 50.5 with 74.3% confidence,,,,
2025_01_CAR_JAX_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 86.0% confidence (FPI-adjusted),,,,
2025_01_CAR_JAX_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts CAR covers with 54.2% confidence,,,,
2025_01_CAR_JAX_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 45.5 with 77.2% confidence,,,,
2025_01_CIN_CLE_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,,,
2025_01_CIN_CLE_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts CIN covers with 57.0% confidence,,,,
2025_01_CIN_CLE_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 76.1% confidence,,,,
2025_01_DAL_PHI_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 88.9% confidence (FPI-adjusted),,,,
2025_01_DAL_PHI_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts DAL covers with 54.2% confidence,,,,
2025_01_DAL_PHI_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 56.0% confidence,,,,
2025_01_DET_GB_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 81.8% confidence (FPI-adjusted),,,,
2025_01_DET_GB_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 48.5 with 56.0% confidence,,,,
2025_01_HOU_LA_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,,,
2025_01_HOU_LA_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 43.5 with 61.2% confidence,,,,
2025_01_KC_LAC_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,,,
2025_01_KC_LAC_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 47.5 with 61.2% confidence,,,,
2025_01_LV_NE_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 91.0% confidence (FPI-adjusted),,,,
2025_01_LV_NE_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts LV covers with 58.0% confidence,,,,
2025_01_LV_NE_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 65.8% confidence,,,,
2025_01_MIA_IND_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 86.5% confidence (FPI-adjusted),,,,
2025_01_MIA_IND_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts MIA covers with 55.2% confidence,,,,
2025_01_MIA_IND_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 51.4% confidence,,,,
2025_01_MIN_CHI_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 91.0% confidence (FPI-adjusted),,,,
2025_01_MIN_CHI_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 65.2% confidence,,,,
2025_01_NYG_WAS_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 81.2% confidence (FPI-adjusted),,,,
2025_01_NYG_WAS_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts NYG covers with 57.2% confidence,,,,
2025_01_NYG_WAS_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 45.5 with 63.4% confidence,,,,
2025_01_PIT_NYJ_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 91.4% confidence (FPI-adjusted),,,,
2025_01_PIT_NYJ_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 37.5 with 65.2% confidence,,,,
2025_01_SF_SEA_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,,,
2025_01_SF_SEA_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts SF covers with 55.2% confidence,,,,
2025_01_SF_SEA_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 43.5 with 61.2% confidence,,,,
2025_01_TB_ATL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 86.2% confidence (FPI-adjusted),,,,
2025_01_TB_ATL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts UNDER 47.5 with 56.7% confidence,,,,
2025_01_TEN_DEN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 86.0% confidence (FPI-adjusted),,,,
2025_01_TEN_DEN_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts TEN covers with 57.0% confidence,,,,
2025_01_TEN_DEN_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 42.5 with 62.8% confidence,,,,
2025_02_ATL_MIN_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 55.1% confidence (FPI-adjusted),,,,
2025_02_ATL_MIN_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 56.8% confidence,,,,
2025_02_BUF_NYJ_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 55.4% confidence (FPI-adjusted),,,,
2025_02_BUF_NYJ_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts BUF covers with 55.1% confidence,,,,
2025_02_BUF_NYJ_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 75.6% confidence,,,,
2025_02_CAR_ARI_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 69.9% confidence (FPI-adjusted),,,,
2025_02_CAR_ARI_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 45.5 with 58.0% confidence,,,,
2025_02_CHI_DET_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 61.8% confidence (FPI-adjusted),,,,
2025_02_CHI_DET_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 46.5 with 72.6% confidence,,,,
2025_02_CLE_BAL_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 58.7% confidence (FPI-adjusted),,,,
2025_02_CLE_BAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 46.5 with 84.3% confidence,,,,
2025_02_DEN_IND_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 62.9% confidence (FPI-adjusted),,,,
2025_02_DEN_IND_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts DEN covers with 56.4% confidence,,,,
2025_02_DEN_IND_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts UNDER 43.5 with 54.1% confidence,,,,
2025_02_JAX_CIN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 57.0% confidence (FPI-adjusted),,,,
2025_02_JAX_CIN_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 49.5 with 68.3% confidence,,,,
2025_02_LAC_LV_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 70.8% confidence (FPI-adjusted),,,,
2025_02_LAC_LV_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 46.5 with 64.6% confidence,,,,
2025_02_LA_TEN_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 72.6% confidence (FPI-adjusted),,,,
2025_02_LA_TEN_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 65.4% confidence,,,,
2025_02_NE_MIA_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 54.1% confidence (FPI-adjusted),,,,
2025_02_NE_MIA_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts NE covers with 60.0% confidence,,,,
2025_02_NE_MIA_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 75.5% confidence,,,,
2025_02_NYG_DAL_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 59.9% confidence (FPI-adjusted),,,,
2025_02_NYG_DAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 44.5 with 74.2% confidence,,,,
2025_02_PHI_KC_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 64.0% confidence (FPI-adjusted),,,,
2025_02_PHI_KC_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts PHI covers with 51.9% confidence,,,,
2025_02_PHI_KC_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 46.5 with 76.2% confidence,,,,
2025_02_SEA_PIT_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 61.1% confidence (FPI-adjusted),,,,
2025_02_SEA_PIT_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 40.5 with 87.3% confidence,,,,
2025_02_SF_NO_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 56.7% confidence (FPI-adjusted),,,,
2025_02_SF_NO_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 40.5 with 79.5% confidence,,,,
2025_02_TB_HOU_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 58.7% confidence (FPI-adjusted),,,,
2025_02_TB_HOU_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 42.5 with 79.9% confidence,,,,
2025_02_WAS_GB_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 77.3% confidence (FPI-adjusted),,,,
2025_02_WAS_GB_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 48.5 with 51.8% confidence,,,,
2025_03_ARI_SF_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 54.8% confidence (FPI-adjusted),,,,
2025_03_ARI_SF_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 67.2% confidence,,,,
2025_03_ATL_CAR_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 73.8% confidence (FPI-adjusted),,,,
2025_03_ATL_CAR_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 69.7% confidence,,,,
2025_03_CIN_MIN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 50.2% confidence (FPI-adjusted),,,,
2025_03_CIN_MIN_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 53.5% confidence,,,,
2025_03_DAL_CHI_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 68.5% confidence (FPI-adjusted),,,,
2025_03_DAL_CHI_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 49.5 with 84.1% confidence,,,,
2025_03_DEN_LAC_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 55.7% confidence (FPI-adjusted),,,,
2025_03_DEN_LAC_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 45.5 with 75.1% confidence,,,,
2025_03_DET_BAL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 72.4% confidence (FPI-adjusted),,,,
2025_03_DET_BAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 53.5 with 54.5% confidence,,,,
2025_03_GB_CLE_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 63.8% confidence (FPI-adjusted),,,,
2025_03_GB_CLE_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 41.5 with 72.4% confidence,,,,
2025_03_HOU_JAX_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 68.3% confidence (FPI-adjusted),,,,
