ID,Game,Away Team,Home Team,Pick Type,Pick Team,Pick Description,Odds,Confidence,Result,Status,Start Time,Settled At,League,Market Type,Reasoning,Created At,Last Updated,Graded At,Notes,Win Loss,Is Winner,Confidence Level,Is Enhanced,Source
2025_01_ARI_NO_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 91.1% confidence (FPI-adjusted),,2025-10-24T23:07:21.447780+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_ARI_NO_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 81.6% confidence,,2025-10-24T23:07:21.448171+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_BAL_BUF_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.448463+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_BAL_BUF_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 50.5 with 74.3% confidence,,2025-10-24T23:07:21.448646+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_CAR_JAX_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 86.0% confidence (FPI-adjusted),,2025-10-24T23:07:21.448862+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_CAR_JAX_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts CAR covers with 54.2% confidence,,2025-10-24T23:07:21.449084+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_CAR_JAX_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 45.5 with 77.2% confidence,,2025-10-24T23:07:21.449462+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_CIN_CLE_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 89.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.449781+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_CIN_CLE_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts CIN covers with 57.0% confidence,,2025-10-24T23:07:21.449964+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_CIN_CLE_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 76.1% confidence,,2025-10-24T23:07:21.450114+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_DAL_PHI_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 88.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.450261+00:00,,,WIN,True,LOW,True,firebase_existing
2025_01_DAL_PHI_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts DAL covers with 54.2% confidence,,2025-10-24T23:07:21.450455+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_01_DAL_PHI_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 56.0% confidence,,2025-10-24T23:07:21.450635+00:00,,,LOSS,False,LOW,True,firebase_existing
